Kod;Nazwa;Udzielone_Noclegi;Prognoza
1434000;Powiat wołomiński;151855.0;148037.08666666667
1435000;Powiat wyszkowski;62793.0;83356.26666666666
1436000;Powiat zwoleński;0.0;151.81333333333333
1437000;Powiat żuromiński;0.0;341.58
1438000;Powiat żyrardowski;171035.0;141988.65333333332
1461000;Powiat m. Ostrołęka;11317.0;12540.666666666666
1462000;Powiat m. Płock;82629.0;101064.08
1463000;Powiat m. Radom;160220.0;169191.08666666667
1464000;Powiat m. Siedlce;116389.0;127633.34666666666
1465000;Powiat m. st. Warszawa;8021740.0;6360155.94
1601000;Powiat brzeski;36053.0;28600.386666666665
1602000;Powiat głubczycki;13310.0;12067.686666666666
1603000;Powiat kędzierzyńsko-kozielski;60170.0;53022.34
1604000;Powiat kluczborski;24449.0;20230.906666666666
1605000;Powiat krapkowicki;33305.0;35606.193333333336
1606000;Powiat namysłowski;35509.0;35037.933333333334
1607000;Powiat nyski;201246.0;216876.2
1608000;Powiat oleski;23992.0;27261.31333333333
1609000;Powiat opolski;56948.0;57173.86
1610000;Powiat prudnicki;32052.0;31361.48
